PRES,TEMP,DWPT,DRCT,SPED,HGHT
1000.0,-9999.0,-9999.0,-9999.0,-9999.0,261.0
990.0,8.4,-3.6,10.0,3.6,357.0
959.11,5.88,-5.19,350.0,5.15,610.0
925.0,3.0,-7.0,0.0,5.15,899.0
923.28,2.85,-7.03,0.0,5.15,914.0
888.92,-0.17,-7.6,5.0,5.66,1219.0
883.0,-0.7,-7.7,4.12,6.56,1272.77
871.0,-0.9,-11.9,2.32,8.42,1382.02
864.0,1.2,-22.8,1.26,9.51,1446.65
855.73,1.35,-25.65,0.0,10.81,1524.0
853.0,1.4,-26.6,357.62,11.3,1549.65
850.0,1.6,-15.4,355.0,11.84,1578.0
849.0,1.6,-12.4,354.81,11.86,1587.48
833.0,1.6,-10.4,351.76,12.18,1740.69
823.89,1.3,-12.18,350.0,12.36,1829.0
793.17,0.28,-18.32,300.0,7.21,2134.0
785.0,0.0,-20.0,293.17,8.34,2217.13
763.67,0.56,-4.71,275.0,11.33,2438.0
762.0,0.6,-3.5,274.71,11.77,2455.54
735.15,-0.18,-4.1,270.0,19.05,2743.0
718.0,-0.7,-4.5,266.9,20.33,2932.19
707.67,-0.84,-6.83,265.0,21.11,3048.0
703.0,-0.9,-7.9,265.0,19.86,3100.88
700.0,-1.3,-8.3,265.0,19.05,3135.0
655.04,-5.14,-13.67,275.0,17.5,3658.0
642.0,-6.3,-15.3,272.44,19.08,3816.46
626.0,-6.3,-16.3,269.23,21.07,4013.39
605.56,-7.95,-17.1,265.0,23.68,4267.0
559.08,-11.93,-19.02,270.0,27.8,4877.0
516.23,-15.91,-20.93,270.0,31.92,5486.0
500.0,-17.5,-21.7,265.0,32.43,5730.0
476.0,-20.7,-27.7,265.0,32.43,6096.72
412.0,-28.9,-31.7,273.3,34.57,7148.81
400.0,-30.3,-35.3,275.0,35.01,7360.0
386.0,-31.7,-40.7,270.13,35.01,7613.15
385.62,-31.76,-40.7,270.0,35.01,7620.0
369.28,-34.33,-40.7,270.0,34.49,7925.0
367.0,-34.7,-40.7,270.0,34.83,7968.52
339.0,-38.5,-52.5,270.0,39.21,8519.31
313.0,-42.5,-55.5,270.0,43.61,9063.95
309.31,-42.95,-56.23,270.0,44.27,9144.0
300.0,-44.1,-58.1,270.0,46.33,9350.0
279.0,-45.9,-62.9,268.01,53.09,9835.73
250.0,-50.5,-63.5,265.0,63.32,10560.0
245.85,-50.94,-63.57,265.0,65.38,10668.0
234.49,-52.17,-63.78,265.0,71.04,10973.0
231.0,-52.56,-63.84,265.0,71.04,11069.62
228.0,-52.9,-63.9,265.45,70.85,11153.9
200.0,-60.3,-69.3,270.0,68.98,11980.0
193.0,-61.1,-70.1,270.0,65.89,12202.11
185.0,-57.7,-68.7,270.0,63.73,12467.66
174.0,-58.3,-70.3,270.0,60.6,12854.69
151.55,-62.77,-73.84,270.0,53.54,13716.0
150.0,-63.1,-74.1,270.0,53.54,13780.0
130.0,-66.3,-77.3,265.0,46.33,14651.96
124.1,-64.8,-76.68,255.0,43.76,14935.0
118.05,-63.19,-76.02,270.0,45.3,15240.0
117.0,-62.9,-75.9,270.27,44.64,15294.27
101.0,-66.7,-77.7,274.7,33.69,16189.89
100.0,-66.3,-77.3,275.0,32.95,16250.0
91.8,-68.57,-78.94,280.0,28.83,16764.0
87.3,-69.9,-79.9,265.16,27.3,17065.63
87.25,-69.85,-79.88,265.0,27.28,17069.0
81.9,-63.7,-77.7,279.73,23.16,17451.51
75.07,-64.81,-77.7,300.0,17.5,17983.0
71.41,-65.45,-77.7,290.0,15.44,18288.0
70.0,-65.7,-77.7,290.0,15.44,18410.0
64.59,-66.09,-78.09,275.0,13.9,18898.0
55.55,-66.81,-78.81,285.0,11.33,19812.0
52.3,-67.1,-79.1,302.96,9.48,20177.21
50.23,-65.66,-78.56,315.0,8.24,20422.0
50.0,-65.5,-78.5,315.0,7.21,20450.0
47.9,-63.1,-78.1,291.22,3.78,20712.52
47.79,-63.11,-78.1,290.0,3.6,20726.0
43.27,-63.78,-78.21,265.0,4.63,21336.0
40.0,-64.3,-78.3,316.48,6.26,21818.41
39.18,-63.86,-78.17,330.0,6.69,21946.0
35.51,-61.74,-77.57,0.0,12.36,22555.0
32.9,-60.1,-77.1,2.26,10.73,23025.97
30.0,-61.5,-77.5,5.0,8.75,23600.0
21.7,-60.3,-78.3,36.95,8.75,25615.8
20.0,-56.1,-77.1,45.0,8.75,26130.0
18.5,-55.1,-77.1,58.32,8.36,26626.25
16.3,-55.77,-78.45,80.0,7.72,27432.0
12.7,-57.1,-81.1,27.95,4.24,29015.18
10.8,-53.9,-80.9,354.11,1.97,30047.19
10.09,-54.6,-81.6,340.0,1.03,30480.0
10.0,-54.7,-81.7,320.0,2.06,30540.0
9.1,-57.3,-83.3,-9999.0,-9999.0,31139.48
7.9,-48.9,-81.9,-9999.0,-9999.0,32050.37
7.6,-50.1,-83.1,-9999.0,-9999.0,32303.82
7.3,-52.5,-83.5,-9999.0,-9999.0,32565.37
